          ;       14036;   ;Filtro    ;Inicio                                  ;01072016      ;170405;::1            ;OK ;                    ;Inicio de filtrado                                                      
          ;       14036;   ;Filtro    ;tbk_param.txt                           ;01072016      ;170405;::1            ;OK ;                    ;Archivo parseado                                                        
          ;       14036;   ;Filtro    ;Terminado                               ;01072016      ;170405;::1            ;OK ;                    ;Datos Filtrados con exito                                               
740704559 ;       14036;   ;pago      ;inicio                                  ;01072016      ;170405;::1            ;OK ;597026007976        ;Parseo realizado                                                        
740704559 ;       14036;   ;pago      ;https://certificacion.webpay.cl         ;01072016      ;170405;::1            ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
740704559 ;       14036;   ;pago      ;https://certificacion.webpay.cl         ;01072016      ;170405;::1            ;OK ;597026007976        ;Mac generado                                                            
740704559 ;       14036;   ;pago      ;https://certificacion.webpay.cl         ;01072016      ;170405;::1            ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
740704559 ;       14036;   ;pago      ;https://certificacion.webpay.cl         ;01072016      ;170405;::1            ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
740704559 ;       14036;   ;pago      ;https://certificacion.webpay.cl         ;01072016      ;170405;::1            ;OK ;597026007976        ;Datos listos para ser enviados                                          
740704559 ;       14036;   ;pago      ;https://certificacion.webpay.cl         ;01072016      ;170405;::1            ;OK ;597026007976        ;Medio 2: Por redireccion                                                
740704559 ;       14036;   ;pago      ;https://certificacion.webpay.cl         ;01072016      ;170405;::1            ;OK ;597026007976        ;Redireccion web                                                         
740704559 ;       14036;   ;pago      ;https://certificacion.webpay.cl         ;01072016      ;170405;::1            ;OK ;597026007976        ;Todo OK                                                                 
