          ;       12796;   ;Filtro    ;Inicio                                  ;06122016      ;182102;::1            ;OK ;                    ;Inicio de filtrado                                                      
          ;       12796;   ;Filtro    ;tbk_param.txt                           ;06122016      ;182102;::1            ;OK ;                    ;Archivo parseado                                                        
          ;       12796;   ;Filtro    ;Terminado                               ;06122016      ;182102;::1            ;OK ;                    ;Datos Filtrados con exito                                               
105926276 ;       12796;   ;pago      ;inicio                                  ;06122016      ;182102;::1            ;OK ;597032110312        ;Parseo realizado                                                        
105926276 ;       12796;   ;pago      ;https://webpay.transbank.cl             ;06122016      ;182102;::1            ;OK ;597032110312        ;Datos en datos/tbk_config.dat                                           
105926276 ;       12796;   ;pago      ;https://webpay.transbank.cl             ;06122016      ;182102;::1            ;OK ;597032110312        ;Mac generado                                                            
105926276 ;       12796;   ;pago      ;https://webpay.transbank.cl             ;06122016      ;182102;::1            ;OK ;597032110312        ;Construccion TBK_PARAM                                                  
105926276 ;       12796;   ;pago      ;https://webpay.transbank.cl             ;06122016      ;182102;::1            ;OK ;597032110312        ;TBK_PARAM encriptado                                                    
105926276 ;       12796;   ;pago      ;https://webpay.transbank.cl             ;06122016      ;182102;::1            ;OK ;597032110312        ;Datos listos para ser enviados                                          
105926276 ;       12796;   ;pago      ;https://webpay.transbank.cl             ;06122016      ;182102;::1            ;OK ;597032110312        ;Medio 2: Por redireccion                                                
105926276 ;       12796;   ;pago      ;https://webpay.transbank.cl             ;06122016      ;182102;::1            ;OK ;597032110312        ;Redireccion web                                                         
105926276 ;       12796;   ;pago      ;https://webpay.transbank.cl             ;06122016      ;182102;::1            ;OK ;597032110312        ;Todo OK                                                                 
