          ;       13668;   ;Filtro    ;Inicio                                  ;26072016      ;124436;::1            ;OK ;                    ;Inicio de filtrado                                                      
          ;       13668;   ;Filtro    ;tbk_param.txt                           ;26072016      ;124436;::1            ;OK ;                    ;Archivo parseado                                                        
          ;       13668;   ;Filtro    ;Terminado                               ;26072016      ;124436;::1            ;OK ;                    ;Datos Filtrados con exito                                               
955147628 ;       13668;   ;pago      ;inicio                                  ;26072016      ;124436;::1            ;OK ;597032110312        ;Parseo realizado                                                        
955147628 ;       13668;   ;pago      ;https://webpay.transbank.cl             ;26072016      ;124436;::1            ;OK ;597032110312        ;Datos en datos/tbk_config.dat                                           
955147628 ;       13668;   ;pago      ;https://webpay.transbank.cl             ;26072016      ;124436;::1            ;OK ;597032110312        ;Mac generado                                                            
955147628 ;       13668;   ;pago      ;https://webpay.transbank.cl             ;26072016      ;124436;::1            ;OK ;597032110312        ;Construccion TBK_PARAM                                                  
955147628 ;       13668;   ;pago      ;https://webpay.transbank.cl             ;26072016      ;124436;::1            ;OK ;597032110312        ;TBK_PARAM encriptado                                                    
955147628 ;       13668;   ;pago      ;https://webpay.transbank.cl             ;26072016      ;124436;::1            ;OK ;597032110312        ;Datos listos para ser enviados                                          
955147628 ;       13668;   ;pago      ;https://webpay.transbank.cl             ;26072016      ;124436;::1            ;OK ;597032110312        ;Medio 2: Por redireccion                                                
955147628 ;       13668;   ;pago      ;https://webpay.transbank.cl             ;26072016      ;124436;::1            ;OK ;597032110312        ;Redireccion web                                                         
955147628 ;       13668;   ;pago      ;https://webpay.transbank.cl             ;26072016      ;124436;::1            ;OK ;597032110312        ;Todo OK                                                                 
          ;       14232;   ;Filtro    ;Inicio                                  ;26072016      ;124544;::1            ;OK ;                    ;Inicio de filtrado                                                      
          ;       14232;   ;Filtro    ;tbk_param.txt                           ;26072016      ;124544;::1            ;OK ;                    ;Archivo parseado                                                        
          ;       14232;   ;Filtro    ;Terminado                               ;26072016      ;124544;::1            ;OK ;                    ;Datos Filtrados con exito                                               
955154454 ;       14232;   ;pago      ;inicio                                  ;26072016      ;124544;::1            ;OK ;597032110312        ;Parseo realizado                                                        
955154454 ;       14232;   ;pago      ;https://webpay.transbank.cl             ;26072016      ;124544;::1            ;OK ;597032110312        ;Datos en datos/tbk_config.dat                                           
955154454 ;       14232;   ;pago      ;https://webpay.transbank.cl             ;26072016      ;124544;::1            ;OK ;597032110312        ;Mac generado                                                            
955154454 ;       14232;   ;pago      ;https://webpay.transbank.cl             ;26072016      ;124544;::1            ;OK ;597032110312        ;Construccion TBK_PARAM                                                  
955154454 ;       14232;   ;pago      ;https://webpay.transbank.cl             ;26072016      ;124544;::1            ;OK ;597032110312        ;TBK_PARAM encriptado                                                    
955154454 ;       14232;   ;pago      ;https://webpay.transbank.cl             ;26072016      ;124544;::1            ;OK ;597032110312        ;Datos listos para ser enviados                                          
955154454 ;       14232;   ;pago      ;https://webpay.transbank.cl             ;26072016      ;124544;::1            ;OK ;597032110312        ;Medio 2: Por redireccion                                                
955154454 ;       14232;   ;pago      ;https://webpay.transbank.cl             ;26072016      ;124544;::1            ;OK ;597032110312        ;Redireccion web                                                         
955154454 ;       14232;   ;pago      ;https://webpay.transbank.cl             ;26072016      ;124544;::1            ;OK ;597032110312        ;Todo OK                                                                 
          ;       16188;   ;Filtro    ;Inicio                                  ;26072016      ;124756;::1            ;OK ;                    ;Inicio de filtrado                                                      
          ;       16188;   ;Filtro    ;tbk_param.txt                           ;26072016      ;124756;::1            ;OK ;                    ;Archivo parseado                                                        
          ;       16188;   ;Filtro    ;Terminado                               ;26072016      ;124756;::1            ;OK ;                    ;Datos Filtrados con exito                                               
955167692 ;       16188;   ;pago      ;inicio                                  ;26072016      ;124756;::1            ;OK ;597032110312        ;Parseo realizado                                                        
955167692 ;       16188;   ;pago      ;https://webpay.transbank.cl             ;26072016      ;124756;::1            ;OK ;597032110312        ;Datos en datos/tbk_config.dat                                           
955167692 ;       16188;   ;pago      ;https://webpay.transbank.cl             ;26072016      ;124756;::1            ;OK ;597032110312        ;Mac generado                                                            
955167692 ;       16188;   ;pago      ;https://webpay.transbank.cl             ;26072016      ;124756;::1            ;OK ;597032110312        ;Construccion TBK_PARAM                                                  
955167692 ;       16188;   ;pago      ;https://webpay.transbank.cl             ;26072016      ;124757;::1            ;OK ;597032110312        ;TBK_PARAM encriptado                                                    
955167692 ;       16188;   ;pago      ;https://webpay.transbank.cl             ;26072016      ;124757;::1            ;OK ;597032110312        ;Datos listos para ser enviados                                          
955167692 ;       16188;   ;pago      ;https://webpay.transbank.cl             ;26072016      ;124757;::1            ;OK ;597032110312        ;Medio 2: Por redireccion                                                
955167692 ;       16188;   ;pago      ;https://webpay.transbank.cl             ;26072016      ;124757;::1            ;OK ;597032110312        ;Redireccion web                                                         
955167692 ;       16188;   ;pago      ;https://webpay.transbank.cl             ;26072016      ;124757;::1            ;OK ;597032110312        ;Todo OK                                                                 
          ;        6240;   ;Filtro    ;Inicio                                  ;26072016      ;124807;::1            ;OK ;                    ;Inicio de filtrado                                                      
          ;        6240;   ;Filtro    ;tbk_param.txt                           ;26072016      ;124807;::1            ;OK ;                    ;Archivo parseado                                                        
          ;        6240;   ;Filtro    ;Terminado                               ;26072016      ;124807;::1            ;OK ;                    ;Datos Filtrados con exito                                               
955168714 ;        6240;   ;pago      ;inicio                                  ;26072016      ;124807;::1            ;OK ;597032110312        ;Parseo realizado                                                        
955168714 ;        6240;   ;pago      ;https://webpay.transbank.cl             ;26072016      ;124807;::1            ;OK ;597032110312        ;Datos en datos/tbk_config.dat                                           
955168714 ;        6240;   ;pago      ;https://webpay.transbank.cl             ;26072016      ;124807;::1            ;OK ;597032110312        ;Mac generado                                                            
955168714 ;        6240;   ;pago      ;https://webpay.transbank.cl             ;26072016      ;124807;::1            ;OK ;597032110312        ;Construccion TBK_PARAM                                                  
955168714 ;        6240;   ;pago      ;https://webpay.transbank.cl             ;26072016      ;124807;::1            ;OK ;597032110312        ;TBK_PARAM encriptado                                                    
955168714 ;        6240;   ;pago      ;https://webpay.transbank.cl             ;26072016      ;124807;::1            ;OK ;597032110312        ;Datos listos para ser enviados                                          
955168714 ;        6240;   ;pago      ;https://webpay.transbank.cl             ;26072016      ;124807;::1            ;OK ;597032110312        ;Medio 2: Por redireccion                                                
955168714 ;        6240;   ;pago      ;https://webpay.transbank.cl             ;26072016      ;124807;::1            ;OK ;597032110312        ;Redireccion web                                                         
955168714 ;        6240;   ;pago      ;https://webpay.transbank.cl             ;26072016      ;124807;::1            ;OK ;597032110312        ;Todo OK                                                                 
          ;        3492;   ;Filtro    ;Inicio                                  ;26072016      ;132925;::1            ;OK ;                    ;Inicio de filtrado                                                      
          ;        3492;   ;Filtro    ;tbk_param.txt                           ;26072016      ;132925;::1            ;OK ;                    ;Archivo parseado                                                        
          ;        3492;   ;Filtro    ;Terminado                               ;26072016      ;132925;::1            ;OK ;                    ;Datos Filtrados con exito                                               
955416527 ;        3492;   ;pago      ;inicio                                  ;26072016      ;132925;::1            ;OK ;597032110312        ;Parseo realizado                                                        
955416527 ;        3492;   ;pago      ;https://webpay.transbank.cl             ;26072016      ;132925;::1            ;OK ;597032110312        ;Datos en datos/tbk_config.dat                                           
955416527 ;        3492;   ;pago      ;https://webpay.transbank.cl             ;26072016      ;132925;::1            ;OK ;597032110312        ;Mac generado                                                            
955416527 ;        3492;   ;pago      ;https://webpay.transbank.cl             ;26072016      ;132925;::1            ;OK ;597032110312        ;Construccion TBK_PARAM                                                  
955416527 ;        3492;   ;pago      ;https://webpay.transbank.cl             ;26072016      ;132925;::1            ;OK ;597032110312        ;TBK_PARAM encriptado                                                    
955416527 ;        3492;   ;pago      ;https://webpay.transbank.cl             ;26072016      ;132925;::1            ;OK ;597032110312        ;Datos listos para ser enviados                                          
955416527 ;        3492;   ;pago      ;https://webpay.transbank.cl             ;26072016      ;132925;::1            ;OK ;597032110312        ;Medio 2: Por redireccion                                                
955416527 ;        3492;   ;pago      ;https://webpay.transbank.cl             ;26072016      ;132925;::1            ;OK ;597032110312        ;Redireccion web                                                         
955416527 ;        3492;   ;pago      ;https://webpay.transbank.cl             ;26072016      ;132925;::1            ;OK ;597032110312        ;Todo OK                                                                 
          ;        8152;   ;Filtro    ;Inicio                                  ;26072016      ;154910;::1            ;OK ;                    ;Inicio de filtrado                                                      
          ;        8152;   ;Filtro    ;tbk_param.txt                           ;26072016      ;154910;::1            ;OK ;                    ;Archivo parseado                                                        
          ;        8152;   ;Filtro    ;Terminado                               ;26072016      ;154910;::1            ;OK ;                    ;Datos Filtrados con exito                                               
956255011 ;        8152;   ;pago      ;inicio                                  ;26072016      ;154910;::1            ;OK ;597032110312        ;Parseo realizado                                                        
956255011 ;        8152;   ;pago      ;https://webpay.transbank.cl             ;26072016      ;154910;::1            ;OK ;597032110312        ;Datos en datos/tbk_config.dat                                           
956255011 ;        8152;   ;pago      ;https://webpay.transbank.cl             ;26072016      ;154910;::1            ;OK ;597032110312        ;Mac generado                                                            
956255011 ;        8152;   ;pago      ;https://webpay.transbank.cl             ;26072016      ;154910;::1            ;OK ;597032110312        ;Construccion TBK_PARAM                                                  
956255011 ;        8152;   ;pago      ;https://webpay.transbank.cl             ;26072016      ;154910;::1            ;OK ;597032110312        ;TBK_PARAM encriptado                                                    
956255011 ;        8152;   ;pago      ;https://webpay.transbank.cl             ;26072016      ;154910;::1            ;OK ;597032110312        ;Datos listos para ser enviados                                          
956255011 ;        8152;   ;pago      ;https://webpay.transbank.cl             ;26072016      ;154910;::1            ;OK ;597032110312        ;Medio 2: Por redireccion                                                
956255011 ;        8152;   ;pago      ;https://webpay.transbank.cl             ;26072016      ;154910;::1            ;OK ;597032110312        ;Redireccion web                                                         
956255011 ;        8152;   ;pago      ;https://webpay.transbank.cl             ;26072016      ;154910;::1            ;OK ;597032110312        ;Todo OK                                                                 
