          ;        6824;   ;resultado ;183                                     ;19122016      ;102353;200.10.14.177  ;OK ;                    ;tienda NO acepto transaccion                                            
          ;        6824;   ;resultado ;183                                     ;19122016      ;102353;200.10.14.177  ;OK ;                    ;respuesta enviada a TBK (ERR)                                           
215374575 ;        6824;   ;resultado ;datoscom                                ;19122016      ;102353;200.10.14.177  ;Ok ;597032110312        ;Error al obtener ack (46)                                               
          ;        6824;   ;resultado ;183                                     ;19122016      ;102353;200.10.14.177  ;ERR;                    ;46                                                                      
          ;        5700;   ;Filtro    ;Inicio                                  ;19122016      ;102921;200.83.215.99  ;OK ;                    ;Inicio de filtrado                                                      
          ;        5700;   ;Filtro    ;tbk_param.txt                           ;19122016      ;102921;200.83.215.99  ;OK ;                    ;Archivo parseado                                                        
          ;        5700;   ;Filtro    ;Terminado                               ;19122016      ;102921;200.83.215.99  ;OK ;                    ;Datos Filtrados con exito                                               
215416146 ;        5700;   ;pago      ;inicio                                  ;19122016      ;102921;200.83.215.99  ;OK ;597032110312        ;Parseo realizado                                                        
215416146 ;        5700;   ;pago      ;https://webpay.transbank.cl             ;19122016      ;102921;200.83.215.99  ;OK ;597032110312        ;Datos en datos/tbk_config.dat                                           
215416146 ;        5700;   ;pago      ;https://webpay.transbank.cl             ;19122016      ;102921;200.83.215.99  ;OK ;597032110312        ;Mac generado                                                            
215416146 ;        5700;   ;pago      ;https://webpay.transbank.cl             ;19122016      ;102921;200.83.215.99  ;OK ;597032110312        ;Construccion TBK_PARAM                                                  
215416146 ;        5700;   ;pago      ;https://webpay.transbank.cl             ;19122016      ;102921;200.83.215.99  ;OK ;597032110312        ;TBK_PARAM encriptado                                                    
215416146 ;        5700;   ;pago      ;https://webpay.transbank.cl             ;19122016      ;102921;200.83.215.99  ;OK ;597032110312        ;Datos listos para ser enviados                                          
215416146 ;        5700;   ;pago      ;https://webpay.transbank.cl             ;19122016      ;102921;200.83.215.99  ;OK ;597032110312        ;Medio 2: Por redireccion                                                
215416146 ;        5700;   ;pago      ;https://webpay.transbank.cl             ;19122016      ;102921;200.83.215.99  ;OK ;597032110312        ;Redireccion web                                                         
215416146 ;        5700;   ;pago      ;https://webpay.transbank.cl             ;19122016      ;102921;200.83.215.99  ;OK ;597032110312        ;Todo OK                                                                 
          ;        5232;   ;resultado ;Desencriptando                          ;19122016      ;103030;200.10.14.177  ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;        5232;   ;resultado ;Validacion                              ;19122016      ;103030;200.10.14.177  ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;        5232;   ;resultado ;184                                     ;19122016      ;103030;200.10.14.177  ;OK ;                    ;Parseo de los datos                                                     
          ;        5232;   ;resultado ;184                                     ;19122016      ;103030;200.10.14.177  ;OK ;                    ;http://190.98.201.83/Webpay/Xt_Cierre                                   
215416146 ;        5232;   ;transacc  ;215416146                               ;19122016      ;103030;200.10.14.177  ;OK ;597032110312        ;conectandose al port :(80)                                              
215416146 ;        5232;   ;resultado ;logro abrir_conexion                    ;19122016      ;103030;200.10.14.177  ; 0 ;597032110312        ;Abrio socket para conex-com                                             
215416146 ;        5232;   ;transacc  ;215416146                               ;19122016      ;103030;200.10.14.177  ;OK ;597032110312        ;POST a url http://190.98.201.83/Webpay/Xt_Cierre                        
215416146 ;        5232;   ;transacc  ;215416146                               ;19122016      ;103030;200.10.14.177  ;OK ;597032110312        ;mensaje enviado                                                         
          ;        5232;   ;resultado ;184                                     ;19122016      ;103030;200.10.14.177  ;OK ;                    ;tienda NO acepto transaccion                                            
          ;        5232;   ;resultado ;184                                     ;19122016      ;103030;200.10.14.177  ;OK ;                    ;respuesta enviada a TBK (ERR)                                           
215416146 ;        5232;   ;resultado ;datoscom                                ;19122016      ;103030;200.10.14.177  ;Ok ;597032110312        ;Error al obtener ack (46)                                               
          ;        5232;   ;resultado ;184                                     ;19122016      ;103030;200.10.14.177  ;ERR;                    ;46                                                                      
          ;        7128;   ;Filtro    ;Inicio                                  ;19122016      ;103837;200.83.215.99  ;OK ;                    ;Inicio de filtrado                                                      
          ;        7128;   ;Filtro    ;tbk_param.txt                           ;19122016      ;103837;200.83.215.99  ;OK ;                    ;Archivo parseado                                                        
          ;        7128;   ;Filtro    ;Terminado                               ;19122016      ;103837;200.83.215.99  ;OK ;                    ;Datos Filtrados con exito                                               
215471764 ;        7128;   ;pago      ;inicio                                  ;19122016      ;103837;200.83.215.99  ;OK ;597032110312        ;Parseo realizado                                                        
215471764 ;        7128;   ;pago      ;https://webpay.transbank.cl             ;19122016      ;103837;200.83.215.99  ;OK ;597032110312        ;Datos en datos/tbk_config.dat                                           
215471764 ;        7128;   ;pago      ;https://webpay.transbank.cl             ;19122016      ;103837;200.83.215.99  ;OK ;597032110312        ;Mac generado                                                            
215471764 ;        7128;   ;pago      ;https://webpay.transbank.cl             ;19122016      ;103837;200.83.215.99  ;OK ;597032110312        ;Construccion TBK_PARAM                                                  
215471764 ;        7128;   ;pago      ;https://webpay.transbank.cl             ;19122016      ;103837;200.83.215.99  ;OK ;597032110312        ;TBK_PARAM encriptado                                                    
215471764 ;        7128;   ;pago      ;https://webpay.transbank.cl             ;19122016      ;103837;200.83.215.99  ;OK ;597032110312        ;Datos listos para ser enviados                                          
215471764 ;        7128;   ;pago      ;https://webpay.transbank.cl             ;19122016      ;103837;200.83.215.99  ;OK ;597032110312        ;Medio 2: Por redireccion                                                
215471764 ;        7128;   ;pago      ;https://webpay.transbank.cl             ;19122016      ;103837;200.83.215.99  ;OK ;597032110312        ;Redireccion web                                                         
215471764 ;        7128;   ;pago      ;https://webpay.transbank.cl             ;19122016      ;103837;200.83.215.99  ;OK ;597032110312        ;Todo OK                                                                 
          ;        5684;   ;resultado ;Desencriptando                          ;19122016      ;104008;200.10.14.177  ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;        5684;   ;resultado ;Validacion                              ;19122016      ;104008;200.10.14.177  ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;        5684;   ;resultado ;186                                     ;19122016      ;104008;200.10.14.177  ;OK ;                    ;Parseo de los datos                                                     
          ;        5684;   ;resultado ;186                                     ;19122016      ;104008;200.10.14.177  ;OK ;                    ;http://190.98.201.83/Webpay/Xt_Cierre                                   
215471764 ;        5684;   ;transacc  ;215471764                               ;19122016      ;104008;200.10.14.177  ;OK ;597032110312        ;conectandose al port :(80)                                              
215471764 ;        5684;   ;resultado ;logro abrir_conexion                    ;19122016      ;104008;200.10.14.177  ; 0 ;597032110312        ;Abrio socket para conex-com                                             
215471764 ;        5684;   ;transacc  ;215471764                               ;19122016      ;104008;200.10.14.177  ;OK ;597032110312        ;POST a url http://190.98.201.83/Webpay/Xt_Cierre                        
215471764 ;        5684;   ;transacc  ;215471764                               ;19122016      ;104008;200.10.14.177  ;OK ;597032110312        ;mensaje enviado                                                         
          ;        5684;   ;resultado ;186                                     ;19122016      ;104008;200.10.14.177  ;OK ;                    ;tienda NO acepto transaccion                                            
          ;        5684;   ;resultado ;186                                     ;19122016      ;104008;200.10.14.177  ;OK ;                    ;respuesta enviada a TBK (ERR)                                           
215471764 ;        5684;   ;resultado ;datoscom                                ;19122016      ;104008;200.10.14.177  ;Ok ;597032110312        ;Error al obtener ack (46)                                               
          ;        5684;   ;resultado ;186                                     ;19122016      ;104008;200.10.14.177  ;ERR;                    ;46                                                                      
          ;        5784;   ;Filtro    ;Inicio                                  ;19122016      ;104241;200.83.215.99  ;OK ;                    ;Inicio de filtrado                                                      
          ;        5784;   ;Filtro    ;tbk_param.txt                           ;19122016      ;104241;200.83.215.99  ;OK ;                    ;Archivo parseado                                                        
          ;        5784;   ;Filtro    ;Terminado                               ;19122016      ;104241;200.83.215.99  ;OK ;                    ;Datos Filtrados con exito                                               
215496177 ;        5784;   ;pago      ;inicio                                  ;19122016      ;104241;200.83.215.99  ;OK ;597032110312        ;Parseo realizado                                                        
215496177 ;        5784;   ;pago      ;https://webpay.transbank.cl             ;19122016      ;104241;200.83.215.99  ;OK ;597032110312        ;Datos en datos/tbk_config.dat                                           
215496177 ;        5784;   ;pago      ;https://webpay.transbank.cl             ;19122016      ;104241;200.83.215.99  ;OK ;597032110312        ;Mac generado                                                            
215496177 ;        5784;   ;pago      ;https://webpay.transbank.cl             ;19122016      ;104241;200.83.215.99  ;OK ;597032110312        ;Construccion TBK_PARAM                                                  
215496177 ;        5784;   ;pago      ;https://webpay.transbank.cl             ;19122016      ;104241;200.83.215.99  ;OK ;597032110312        ;TBK_PARAM encriptado                                                    
215496177 ;        5784;   ;pago      ;https://webpay.transbank.cl             ;19122016      ;104241;200.83.215.99  ;OK ;597032110312        ;Datos listos para ser enviados                                          
