          ;       35928;   ;Filtro    ;Inicio                                  ;07122016      ;154232;::1            ;OK ;                    ;Inicio de filtrado                                                      
          ;       35928;   ;Filtro    ;tbk_param.txt                           ;07122016      ;154232;::1            ;OK ;                    ;Archivo parseado                                                        
          ;       35928;   ;Filtro    ;Terminado                               ;07122016      ;154232;::1            ;OK ;                    ;Datos Filtrados con exito                                               
113615214 ;       35928;   ;pago      ;inicio                                  ;07122016      ;154232;::1            ;OK ;597032110312        ;Parseo realizado                                                        
113615214 ;       35928;   ;pago      ;https://webpay.transbank.cl             ;07122016      ;154232;::1            ;OK ;597032110312        ;Datos en datos/tbk_config.dat                                           
113615214 ;       35928;   ;pago      ;https://webpay.transbank.cl             ;07122016      ;154232;::1            ;OK ;597032110312        ;Mac generado                                                            
113615214 ;       35928;   ;pago      ;https://webpay.transbank.cl             ;07122016      ;154232;::1            ;OK ;597032110312        ;Construccion TBK_PARAM                                                  
113615214 ;       35928;   ;pago      ;https://webpay.transbank.cl             ;07122016      ;154232;::1            ;OK ;597032110312        ;TBK_PARAM encriptado                                                    
113615214 ;       35928;   ;pago      ;https://webpay.transbank.cl             ;07122016      ;154232;::1            ;OK ;597032110312        ;Datos listos para ser enviados                                          
113615214 ;       35928;   ;pago      ;https://webpay.transbank.cl             ;07122016      ;154232;::1            ;OK ;597032110312        ;Medio 2: Por redireccion                                                
113615214 ;       35928;   ;pago      ;https://webpay.transbank.cl             ;07122016      ;154232;::1            ;OK ;597032110312        ;Redireccion web                                                         
113615214 ;       35928;   ;pago      ;https://webpay.transbank.cl             ;07122016      ;154232;::1            ;OK ;597032110312        ;Todo OK                                                                 
