          ;       19188;   ;Filtro    ;Inicio                                  ;14122016      ;164005;::1            ;OK ;                    ;Inicio de filtrado                                                      
          ;       19188;   ;Filtro    ;tbk_param.txt                           ;14122016      ;164005;::1            ;OK ;                    ;Archivo parseado                                                        
          ;       19188;   ;Filtro    ;Terminado                               ;14122016      ;164005;::1            ;OK ;                    ;Datos Filtrados con exito                                               
174440544 ;       19188;   ;pago      ;inicio                                  ;14122016      ;164005;::1            ;OK ;597032110312        ;Parseo realizado                                                        
174440544 ;       19188;   ;pago      ;https://webpay.transbank.cl             ;14122016      ;164005;::1            ;OK ;597032110312        ;Datos en datos/tbk_config.dat                                           
174440544 ;       19188;   ;pago      ;https://webpay.transbank.cl             ;14122016      ;164005;::1            ;OK ;597032110312        ;Mac generado                                                            
174440544 ;       19188;   ;pago      ;https://webpay.transbank.cl             ;14122016      ;164005;::1            ;OK ;597032110312        ;Construccion TBK_PARAM                                                  
174440544 ;       19188;   ;pago      ;https://webpay.transbank.cl             ;14122016      ;164005;::1            ;OK ;597032110312        ;TBK_PARAM encriptado                                                    
174440544 ;       19188;   ;pago      ;https://webpay.transbank.cl             ;14122016      ;164005;::1            ;OK ;597032110312        ;Datos listos para ser enviados                                          
174440544 ;       19188;   ;pago      ;https://webpay.transbank.cl             ;14122016      ;164005;::1            ;OK ;597032110312        ;Medio 2: Por redireccion                                                
174440544 ;       19188;   ;pago      ;https://webpay.transbank.cl             ;14122016      ;164005;::1            ;OK ;597032110312        ;Redireccion web                                                         
174440544 ;       19188;   ;pago      ;https://webpay.transbank.cl             ;14122016      ;164005;::1            ;OK ;597032110312        ;Todo OK                                                                 
