          ;       17052;   ;Filtro    ;Inicio                                  ;04072016      ;113657;::1            ;OK ;                    ;Inicio de filtrado                                                      
          ;       17052;   ;Filtro    ;tbk_param.txt                           ;04072016      ;113657;::1            ;OK ;                    ;Archivo parseado                                                        
          ;       17052;   ;Filtro    ;Terminado                               ;04072016      ;113657;::1            ;OK ;                    ;Datos Filtrados con exito                                               
764661711 ;       17052;   ;pago      ;inicio                                  ;04072016      ;113657;::1            ;OK ;597026007976        ;Parseo realizado                                                        
764661711 ;       17052;   ;pago      ;https://certificacion.webpay.cl         ;04072016      ;113657;::1            ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
764661711 ;       17052;   ;pago      ;https://certificacion.webpay.cl         ;04072016      ;113657;::1            ;OK ;597026007976        ;Mac generado                                                            
764661711 ;       17052;   ;pago      ;https://certificacion.webpay.cl         ;04072016      ;113657;::1            ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
764661711 ;       17052;   ;pago      ;https://certificacion.webpay.cl         ;04072016      ;113657;::1            ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
764661711 ;       17052;   ;pago      ;https://certificacion.webpay.cl         ;04072016      ;113657;::1            ;OK ;597026007976        ;Datos listos para ser enviados                                          
764661711 ;       17052;   ;pago      ;https://certificacion.webpay.cl         ;04072016      ;113657;::1            ;OK ;597026007976        ;Medio 2: Por redireccion                                                
764661711 ;       17052;   ;pago      ;https://certificacion.webpay.cl         ;04072016      ;113657;::1            ;OK ;597026007976        ;Redireccion web                                                         
764661711 ;       17052;   ;pago      ;https://certificacion.webpay.cl         ;04072016      ;113657;::1            ;OK ;597026007976        ;Todo OK                                                                 
