          ;       10140;   ;Filtro    ;Inicio                                  ;20122016      ;105556;::1            ;OK ;                    ;Inicio de filtrado                                                      
          ;       10140;   ;Filtro    ;tbk_param.txt                           ;20122016      ;105556;::1            ;OK ;                    ;Archivo parseado                                                        
          ;       10140;   ;Filtro    ;Terminado                               ;20122016      ;105556;::1            ;OK ;                    ;Datos Filtrados con exito                                               
224215694 ;       10140;   ;pago      ;inicio                                  ;20122016      ;105556;::1            ;OK ;597026007976        ;Parseo realizado                                                        
224215694 ;       10140;   ;pago      ;https://webpay3gint.transbank.cl        ;20122016      ;105556;::1            ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
224215694 ;       10140;   ;pago      ;https://webpay3gint.transbank.cl        ;20122016      ;105556;::1            ;OK ;597026007976        ;Mac generado                                                            
224215694 ;       10140;   ;pago      ;https://webpay3gint.transbank.cl        ;20122016      ;105556;::1            ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
224215694 ;       10140;   ;pago      ;https://webpay3gint.transbank.cl        ;20122016      ;105557;::1            ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
224215694 ;       10140;   ;pago      ;https://webpay3gint.transbank.cl        ;20122016      ;105557;::1            ;OK ;597026007976        ;Datos listos para ser enviados                                          
224215694 ;       10140;   ;pago      ;https://webpay3gint.transbank.cl        ;20122016      ;105557;::1            ;OK ;597026007976        ;Medio 2: Por redireccion                                                
224215694 ;       10140;   ;pago      ;https://webpay3gint.transbank.cl        ;20122016      ;105557;::1            ;OK ;597026007976        ;Redireccion web                                                         
224215694 ;       10140;   ;pago      ;https://webpay3gint.transbank.cl        ;20122016      ;105557;::1            ;OK ;597026007976        ;Todo OK                                                                 
